INSERT INTO Student Values
('d9347116-901f-44b4-b0c6-96ea89a5444c','Id0','Name0'),
('249a46e7-8bcf-4f62-8554-57dd604e57b8','Id1','Name1'),
('525862d2-5ecc-4328-8c49-00033b907a3c','Id2','Name2'),
('303eff40-cd35-4a1a-bcca-000675ec34bb','Id3','Name3'),
('a1e6f8ae-a874-4564-8866-001535c21145','Id4','Name4'),
('93c0875e-5a5e-4fac-a07e-00196b58481a','Id5','Name5'),
('75b628c0-cc7c-4d24-bbba-001975916fc6','Id6','Name6'),
('e808885c-2eb6-4bef-8437-001ec04b4003','Id7','Name7'),
('cb64be34-ee44-40ab-9b71-0022fecf96a5','Id8','Name8'),
('6d6b9b3a-0bca-42e0-bace-0028db3509ae','Id9','Name9'),
('60b7fc77-8969-4560-b03f-002a39d3ce8d','Id10','Name10'),
('bf72d449-cb55-4f3b-b21e-002bd46a6b68','Id11','Name11'),
('5e7d3dc6-c0a1-402c-af70-00378ebc40a1','Id12','Name12'),
('e766c9d3-d1a3-4f5c-8dee-003bb0ac0794','Id13','Name13'),
('1283c8b1-eb17-4663-9586-00448fd64b5c','Id14','Name14'),
('d14d8464-dbeb-42ef-8519-0045fbcc997a','Id15','Name15'),
('e96864fb-dd41-4d1b-945f-00538e79d742','Id16','Name16'),
('9370942d-32c9-45e5-8505-0057eb51b8bd','Id17','Name17'),
('16a19dc3-d634-4030-a2fd-00651ce958b4','Id18','Name18'),
('e08d370d-a35e-4fd3-ad20-0068d4bcaf75','Id19','Name19'),
('091aabd7-d000-4f09-88b1-0074a1e2f33c','Id20','Name20'),
('52a05b4a-b8d3-4336-8830-0076a2ace413','Id21','Name21'),
('17ef43f6-6559-4197-a924-007f841925be','Id22','Name22'),
('e22967df-5f08-40a9-9559-0086613b6303','Id23','Name23'),
('91779eaa-ffd9-4732-b6fa-008bf09d5336','Id24','Name24'),
('b57dd220-315b-4373-9387-009153387f1b','Id25','Name25'),
('6e0d3a70-9d0c-4c43-a1d0-009a20da8ce9','Id26','Name26'),
('64a7eb3f-c609-482c-be8d-009b2e25547d','Id27','Name27'),
('13cf2447-3a9c-4272-9ad3-00a1ed5e0399','Id28','Name28'),
('c7ba62cd-8b61-4ca6-b5a3-00a5f01877fd','Id29','Name29'),
('8fad7cec-67e8-42ca-9bc5-00a7a68fd78d','Id30','Name30'),
